Landfill_ID,Landfill_Name,Landfill_Alias,State,Address,City,County,Zipcode,Latitude,Longitude,Ownership_Type,Year_opened,Landfill_Closure_Year,Status,Current_Area,Current_Depth,Design_Capacity_tons,Waste_in_Place_tons,Annual_waste_acceptance_rate_tons
151,Fink Road LF,,CA,4000 Fink Road,Crows Landing,Stanislaus,95313,37.38816,-121.13633,Public,1973,2028,Open,71,,"9,519,129","4,242,352","231,189"
1896,Whitefeather Landfill,,MI,2401 East Whitefeather Road,Pinconning,Bay,48650,43.8963,-83.9482,Private,1990,2029,Open,44.6,66,"6,195,598","4,236,024","184,021"
1084,Gaston County LF,Hardin Site,NC,3155 Philadelphia Church Road,Dallas,Gaston,28034,35.3886,-81.1718,Public,1987,2035,Open,72.1,50,"5,452,170","4,227,523","191,427"
10407,Gordon County Redbone Ridges LF,Gordon County LF,GA,1224 Pleasant Hill Road Extension NE & Red Bone Ridge Road,Ranger,Gordon,30734,34.510557,-84.765811,Public,1995,2042,Open,49,,"16,992,239","4,225,731","519,086"
2345,Carolina Landfill,,PR,Carr. PR-874 Final KM 1.7 Bo. Hoyos Mulas,Carolina,Carolina,00984,18.408363,-65.93762,Public,1969,2030,Open,87.7,,"4,635,164","4,221,171","89,080"
1238,Knott Landfill,Knott Pit Landfill,OR,61050 SE 27th Street,Bend,Deschutes,97702,44.01,-121.255,Public,1972,2029,Open,89,100,"23,274,878","4,220,048","182,362"
1788,Queen Creek MSW Landfill,,AZ,20224 E Riggs Road,Queen Creek,Maricopa,85142,33.2195,-111.6469,Public,1972,2007,Closed,70,,"4,267,841","4,217,096","137,812"
438,Roberts Road Landfill,,GA,180 Roberts Road,Fayetteville,Fayette,30214,33.486,-84.442,Private,1976,1993,Closed,50,,,"4,214,375",
83,Buena Vista Drive SLF,Buena Vista Disposal Site,CA,"1231 Buena Vista Drive
150 Rountree Lane",Watsonville,Santa Cruz,95076,36.91738,-121.81142,Public,1981,2032,Open,60,,"6,026,606","4,211,364","99,949"
2398,Paris Landfill,B & B Landfill,TX,3100 County Road 33900,Powderly,Lamar,75473,33.779,-95.565,Private,1982,2174,Open,89,,"16,935,431","4,211,085","31,888"
227,North County SLF,North County Recycling Center and Sanitary LF,CA,17720 East Harney Lane,Lodi,San Joaquin,95240,38.097,-121.10194,Public,1991,2070,Open,55,,"30,898,996","4,204,637","195,814"
10460,Lee/Hendry County Regional SW Disposal Facility,,FL,5500 Church Road,Felda,Hendry,33930,26.55979,-81.5204,Public,2002,2033,Open,58.3,50,"6,703,144","4,201,716","305,322"
333,Davis Street LF,Oyster Bay Regional Park,CA,2615 Davis Street,San Leandro,Alameda,94577,37.7144,-122.1948,Private,1942,1980,Closed,53,,"7,801,335","4,200,719","200,034"
1170,Glenwillow Landfill,,OH,30300 Pettibone Road,Solon,Cuyahoga,44139,41.356773,-81.463901,Private,1940,1997,Closed,122,42,"4,188,783","4,188,783","446,237"
50,Arvin SLF,,CA,5500 North Wheeler Ridge Road,Arvin,Kern,93203,35.1905,-118.9145,Public,1971,2003,Closed,126.8,50,"4,171,392","4,171,392","71,250"
125,Contra Costa SLF,Contra Costa Solid Waste Inc & GBF Disposal Site; Central Contra Costa SLF,CA,"James Donlon Boulevard
1/4mi E/O Somersville Road",Antioch,Contra Costa,94509,37.9875,-121.84528,Private,1949,1992,Closed,69.5,,"4,578,840","4,153,922","68,449"
2196,Cheyenne Landfill,,WY,1461 Happy Jack Road,Cheyenne,Laramie,82009,41.135,-105.005,Public,1966,2045,Open,122.3,,"4,410,000","4,147,269","58,929"
1587,Concord Turnpike Regional Landfill,Lynchburg City SLF,VA,2525 Concord Turnpike,Lynchburg,Lynchburg city,24504,37.392,-79.109,Public,1979,2014,Closed,,,"4,536,671","4,141,744","4,681"
20800,Brookfield Avenue Landfill,,NY,575 Arthur Kill Road,Staten Island,Richmond,10308,40.561667,-74.160167,Public,1966,1980,Closed,,,"4,140,104","4,140,104","309,035"
2395,San Juan County Regional Landfill,Crouch Mesa Landfill; San Juan County Landfill,NM,"3140 #78
8 mi NE of Farmington",Aztec,San Juan,87410,36.783,-108.0402,Public,1988,2166,Open,63.8,,"20,342,664","4,136,791","101,344"
2432,Stillwater Sanitary Landfill,H.E.W. Landfill,OK,1717 East Yost Road,Stillwater,Payne,74075,36.209557,-97.052136,Private,1986,2144,Open,45.9,,"5,668,800","4,135,163","92,526"
1828,Hunter Ferrell Landfill,City of Irving Landfill,TX,110 E. Hunter Ferrell Road,Irving,Dallas,75060,32.7839,-96.9389,Public,1982,2077,Open,70.2,,"15,970,575","4,131,875","202,484"
248,Ponderosa SLF,,CA,17219 Ponderosa Way,Brownsville,Yuba,95919,39.46667,-121.29,Public,,1994,Closed,,,,"4,128,000","1,666"
20,Magnolia Subtitle D MSW LF,,AL,15140 County Road 49,Summerdale,Baldwin,36580,30.45727,-87.7761,Public,1997,2036,Open,47.9,10,"6,408,237","4,125,565","196,855"
435,East Duval SLF,Greenfield Creek LF; Girvin Road LF,FL,515 Girvin Road,Jacksonville,Duval,32225,30.33635,-81.46265,Public,1974,1992,Closed,71,,,"4,122,058",
10080,Augusta County Service Authority Landfill,Augusta Regional Landfill,VA,749 Christians Creek Road,Staunton,Augusta,24401,38.0795,-79.055,Public,1971,2049,Open,106.8,50,"14,001,750","4,117,471","139,967"
12204,IESI Buffalo Creek Landfill,,TX,1201 W. Smith Avenue,Iowa Park,Wichita,76367,33.953033,-98.684875,Private,1983,2115,Open,79.4,,"21,984,014","4,089,961","190,304"
2309,LandComp Landfill,,IL,2840 E. 13th Road,Ottawa,LaSalle,61350,41.347899,-88.913509,Private,1998,2064,Open,38.8,,"9,350,423","4,088,786","227,229"
555,New Paris Pike LF,New Paris (Richmond); Richmond LF,IN,5242 New Paris Pike,Richmond,Wayne,47374,39.8512,-84.8315,Public,1968,2065,Open,96,109,"7,365,348","4,082,780","85,488"
1539,Bayview LF,South Utah County SSD,UT,10800 South State Road 68,Elberta,Utah,84626,40.033856,-111.958306,Public,1991,2070,Open,112,,"21,609,000","4,074,829","352,860"
1567,Weber County LF,,UT,2599 A Avenue,Ogden,Weber,84401,41.218,-111.99,Public,1966,1996,Closed,65,,"5,808,994","4,068,838","203,053"
2137,Southern Plains Landfill,Oklahoma Landfill HOL,OK,"3198 County Street 2910
2 miles west of Alex on Hwy 19",Ninnekah,Grady,73067,34.9326,-97.8132,Private,1987,2032,Open,51.4,,,"4,066,584","240,022"
1499,Lacy Lakeview RDF,,TX,677 Selby Lane,Waco,McLennan,76705,31.60481,-97.06249,Private,1983,2024,Open,57,,"4,314,138","4,064,457","90,630"
468,BJ Landfill,WMI-BJ Landfill,GA,2901 Jones Mill Road,Norcross,Gwinnett,30071,33.93045,-84.23786,Private,1955,1999,Closed,100,,,"4,061,918","343,753"
1593,Smith Gap Regional Landfill,Roanoke Valley SLF,VA,8484 Bradshaw Road,Salem,Roanoke,24153,37.29,-80.214,Public,1994,2034,Open,58.1,100,"8,399,842","4,046,712","224,627"
2321,Wheatland Prairie RDF,,IL,25244 W. 111th Street,Plainfield,Will,60585,41.684,-88.239,Private,1987,2001,Closed,70,,"4,030,309","4,030,302","54,515"
1852,Four Hills Landfill,Nashua LF,NH,840 West Hollis Street Route 111,Nashua,Hillsborough,03062,42.728,-71.518,Public,1971,2022,Open,77.1,,"4,502,504","4,019,772","79,635"
429,Santa Rosa Central LF,,FL,6337 Da Lisa Road,Milton,Santa Rosa,32583,30.5785,-87.0664,Public,1978,2055,Open,128,,,"4,014,019","286,700"
20791,Lantana Landfill,Park Ridge Golf Course,FL,9191 Lantana Road,Lake Worth,Palm Beach,33467,26.59302,-80.19369,Public,1969,1988,Closed,,,"4,006,485","4,006,485","200,655"
342,Corona Disposal Site,Temescal Road LF; City of Corona LF,CA,1300 Magnolia Avenue,Corona,Riverside,92879,33.8674,-117.5395,Public,1960,1986,Closed,60.9,100,"4,000,000","4,000,000",0
